"LOC1(2.5,2.5)",,,,"2.5,5",,,,"2.5,7.5",,,,"5,2.5",,,,"5,5",,,,"5,7.5",,,,"7.5,2.5",,,,"7.5,5",,,,"6.85,7.5",,,,"0,0",,,,"0,7.5",,,,"7.5,0",,,
28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68
,-65,-63,-72,-66,,-77,-65,-80,-93,,,-69,-78,-76,-78,-63,-76,-66,-78,-54,-75,-64,-64,-68,-63,-60,-86,-76,-80,-64,-97,-69,-68,-71,-71,-64,,-71,-74,-75,-75,-75,-64,-73,-68,,
,,,-69,-64,,-64,-67,-82,-86,,,-68,-72,-69,-79,-60,-69,-67,,-58,-74,-63,-68,-76,-70,-63,-71,-74,-83,-63,-80,-68,-79,-70,-76,-62,,-73,-67,-76,-76,-70,-71,-74,,,
,,,-67,-65,,-62,,-68,,,,-64,-69,-71,-76,-61,-70,-72,,,-73,-77,,-69,-71,-61,-81,-70,-69,-75,-82,-74,-82,-75,-76,-63,,-60,-68,-71,-74,-83,-69,-75,,,
,,,,-71,,,,-69,,,,-75,-67,-68,-73,-59,-71,-73,,,-72,-74,,-70,-69,-62,-82,-71,-71,-76,-88,-76,-69,-74,-75,-66,,-62,-67,-77,-77,-73,-63,-71,,,
,,,,-74,,,,-68,,,,-67,-70,-74,-85,-60,-76,-67,,,,-75,,-69,-68,-61,-83,-74,-98,-60,-72,-75,-68,-75,-86,-69,,-63,-71,-76,,-71,-72,-85,,,
,,,,-78,,,,,,,,,-72,-77,-78,,-75,-70,,,,-74,,-67,-67,-63,-74,-75,-87,,-73,-77,-80,-76,-71,-74,,,-73,,,-80,-71,-84,,,
,,,,-64,,,,,,,,,-71,-76,-79,,-72,-66,,,,,,-77,-69,-65,-75,-78,,,-82,-69,-79,,,-77,,,,,,-71,,-73,,,
,,,,-66,,,,,,,,,-70,,,,-71,-72,,,,,,-75,-63,-60,-87,-71,,,-83,,,,,-66,,,,,,-73,,-74,,,
,,,,-68,,,,,,,,,,,,,-72,-71,,,,,,,-70,-62,-73,-69,,,,,,,,,,,,,,,,,,,
,,,,-70,,,,,,,,,,,,,-73,-72,,,,,,,-71,-65,-74,-70,,,,,,,,,,,,,,,,,,,
,,,,-69,,,,,,,,,,,,,,,,,,,,,-69,-66,-75,-74,,,,,,,,,,,,,,,,,,,
,,,,-64,,,,,,,,,,,,,,,,,,,,,,-62,,,,,,,,,,,,,,,,,,,,,
,,,,-65,,,,,,,,,,,,,,,,,,,,,,-61,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,-60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,-64,,,,,,,,,,,,,,,,,,,,,
