pointModel__indoorLevel,pointModel__lat,pointModel__long,beaconDataList__name,beaconDataList__uuid,beaconDataList__macAddress,beaconDataList__major,beaconDataList__minor,beaconDataList__distance,beaconDataList__proximity,beaconDataList__rssi,beaconDataList__txPower,beaconDataList__scanTime
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.53,Near,-62,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.51,Near,-54,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.83,Near,-71,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.09,Near,-66,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.12,Near,-62,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,2,Near,-65,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.09,Near,-66,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.56,Near,-80,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.54,Near,-55,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.82,Near,-66,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.09,Near,-66,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.12,Near,-64,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,2.04,Near,-76,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.09,Near,-67,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.6,Near,-64,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.53,Near,-54,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.81,Near,-71,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.09,Near,-67,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.13,Near,-63,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,2.07,Near,-63,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.12,Near,-58,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.6,Near,-63,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.53,Near,-62,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.8,Near,-69,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.12,Near,-58,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.13,Near,-61,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,2.09,Near,-77,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.12,Near,-64,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.61,Near,-81,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.53,Near,-54,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.77,Near,-68,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.12,Near,-64,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.13,Near,-68,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,2.08,Near,-70,-60,3/11/2022 11:36
